55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\2 - Reed Instruments\Melodeon.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\2 - Reed Instruments\Pipes (Highland).nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\2 - Reed Instruments\Pipes (Tulum).nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\2 - Reed Instruments\Pipes (Uilleann).nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\2 - Reed Instruments\Shehnai.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\2 - Reed Instruments\Sho.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\2 - Reed Instruments\Zurna.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\5 - Lutes\Pipa.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\5 - Lutes\Saz.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\5 - Lutes\Sitar.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\5 - Lutes\Tanpura.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\5 - Lutes\Tres.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\6 - Dulcimer\Santur.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\6 - Dulcimer\Yangqin.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\7 - Mallet Instruments\Balafon.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\7 - Mallet Instruments\Small Gongs.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\7 - Mallet Instruments\Steel Drums.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\7 - Mallet Instruments\Tuned Gongs.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\8 - Ideophones\Celesta.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\8 - Ideophones\Kalimba.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\8 - Ideophones\Music Box.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\8 - Ideophones\Sansa.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\9 - Percussion\African Shakers.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\9 - Percussion\Bongos.nki
55 | .nki |  | E:\Kontakt Factory Library 2 Library\Instruments\Acoustic\9 - Percussion\Congas.nki
